symbol,date,open,high,low,close,volume
AAPL,2021-01-04,172.00,172.78,171.40,172.18,2000000
AAPL,2021-01-05,172.18,173.94,171.23,172.99,2097123
AAPL,2021-01-06,172.99,175.72,171.69,174.42,2194246
AAPL,2021-01-07,174.42,176.50,172.77,174.85,2291369
AAPL,2021-01-08,174.85,177.90,172.85,175.90,2388492
AAPL,2021-01-11,175.90,178.16,175.30,177.56,2485615
AAPL,2021-01-12,177.56,179.16,176.61,178.21,2582738
AAPL,2021-01-13,178.21,180.77,176.91,179.47,2679861
AAPL,2021-01-14,179.47,182.98,177.82,181.33,2776984
AAPL,2021-01-15,181.33,184.17,179.33,182.17,2874107
AAPL,2021-01-18,182.17,184.20,181.57,183.60,2971230
AAPL,2021-01-19,183.60,186.56,182.65,185.61,3068353
AAPL,2021-01-20,185.61,187.89,184.31,186.59,3165476
AAPL,2021-01-21,186.59,189.79,184.94,188.14,3262599
AAPL,2021-01-22,188.14,192.26,186.14,190.26,3359722
AAPL,2021-01-25,190.26,191.93,189.66,191.33,3456845
AAPL,2021-01-26,191.33,193.91,190.38,192.96,3553968
AAPL,2021-01-27,192.96,196.43,191.66,195.13,3651091
AAPL,2021-01-28,195.13,197.89,193.48,196.24,3748214
AAPL,2021-01-29,196.24,199.88,194.24,197.88,3845337
AAPL,2021-02-01,197.88,200.65,197.28,200.05,3942460
AAPL,2021-02-02,200.05,202.08,199.10,201.13,4039583
AAPL,2021-02-03,201.13,204.04,199.83,202.74,4136706
AAPL,2021-02-04,202.74,206.50,201.09,204.85,4233829
AAPL,2021-02-05,204.85,207.85,202.85,205.85,4330952
AAPL,2021-02-08,205.85,207.96,205.25,207.36,4428075
AAPL,2021-02-09,207.36,210.31,206.41,209.36,4525198
AAPL,2021-02-10,209.36,211.52,208.06,210.22,4622321
AAPL,2021-02-11,210.22,213.22,208.57,211.57,4719444
AAPL,2021-02-12,211.57,215.40,209.57,213.40,4816567
AAPL,2021-02-15,213.40,214.68,212.80,214.08,4913690
AAPL,2021-02-16,214.08,216.18,213.13,215.23,5010813
AAPL,2021-02-17,215.23,218.13,213.93,216.83,5107936
AAPL,2021-02-18,216.83,218.93,215.18,217.28,5205059
AAPL,2021-02-19,217.28,220.17,215.28,218.17,5302182
AAPL,2021-02-22,218.17,220.11,217.57,219.51,5399305
AAPL,2021-02-23,219.51,220.63,218.56,219.68,5496428
AAPL,2021-02-24,219.68,221.58,218.38,220.28,5593551
